Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MO,2018,"12        ",Male,18,Right-Handed,177,25,177,1,Car,20,0.418,52,Athletics,123,668,342,273,497,797,24.5,"Right foot",102,108,"Ring finger",September,Spring,No,No,Seafood,Coffee,Art,7,10,5,"Yes - broadband connection","In person",6,9,8,1,3,2,8,20,0,1,36,0,0,0,"Very little","Graduate degree","Rock and roll",Telepathy,Rich,Relative,"Wildlife, animals"
USA,MO,2015,"12        ",Male,17,Right-Handed,72,25,163,2,Walk,1,0.757,38,None,500,750,300,400,700,1000,25,"Same length",80,80,"Same length",September,Winter,No,No,Meat,Water,"Computers and technology",9,8,3,"Yes - broadband connection","Text messaging",57,95,6,0,12,1,0,1,5,10,20,15,30,1,Some,"Undergraduate degree",Pop,"Super strength",Happy,Other,Health
USA,MO,2017,"11        ",Male,16,Right-Handed,180,25,175,1,Car,25,0.533,32,Soccer,400,500,600,500,800,900,26,"Left foot",90,91,"Ring finger",September,Summer,Yes,No,Meat,Water,History,8,9,5,"Yes - other","In person",12,15,9,1,7,15,10,3,2,1,4,4,10,15,Some,"Graduate degree","Rock and roll",Fly,Happy,Relative,Health
USA,MO,2016,"11        ",Male,16,Right-Handed,80,25.5,81,1,Car,10,.29,53,Baseball/Softball,350,300,300,300,400,650,27,"Left foot",72,75,"Ring finger",December,Fall,No,No,Meat,Water,Other,8,10,4,"Yes - broadband connection","Text messaging",15,15,52,1,2,5,10,5,5,1,2,8,30,6,,"Graduate degree",Country,Invisibility,Happy,Relative,Religious
USA,MO,2017,"12        ",Male,18,Right-Handed,152,25.5,154,1,Walk,4,.384,42,Golf,519,519,519,465,775,775,24.4,"Right foot",93,96,"Ring finger",September,Winter,No,No,Meat,Water,"Mathematics and statistics",7,8,2,"Yes - broadband connection","Text messaging",100,100,5,2,12,1,24,0,3,3,10,0,16,2,Some,"Graduate degree",Country,Fly,Happy,,Religious
USA,MO,2017,"12        ",Male,18,Right-Handed,190.5,28,190.5,1,Car,10,0.505,62,Baseball/Softball,600,400,300,200,100,100,28,"Same length",95,90,"Index finger",August,Summer,Yes,No,Pizza/Pasta,Water,History,8,9,3,"Yes - broadband connection","Text messaging",100,100,10,1,1,3,15,0,4,4,0,3,0,2,Some,"Graduate degree",Country,Invisibility,Happy,"Sports person",Health
USA,MO,2017,"6         ",Male,11,Left-Handed,130,34,137,1,Bus,15,0.348,39,Basketball,636,27,1000,1000,1000,1000,34,"Same length",7,6,"Index finger",June,Summer,Yes,No,Meat,Other,Art,8,4,4,"Yes - dial-up connection",,10,20,2,1,1,5,3,2,1,1,2,4,1,3,"A lot","Less than high school","Rap/Hip hop",Fly,Happy,"Sports person",Health
USA,MO,2012,"8         ",Male,14,Ambidextrous,165,26,172,1,Bus,65,0.391,43,Basketball,500,400,300,200,200,200,25,"Right foot",7,8,"Ring finger",August,Fall,Yes,No,Meat,Juice,"Mathematics and statistics",7,9,4,"Yes - broadband connection","Text messaging",120,117,6,2,0,2,15,1,1,42,4,30,20,5,"Very little","Graduate degree","Rap/Hip hop",Fly,,Relative,Health
USA,MO,2017,"6         ",Male,12,Right-Handed,148,23,136,1,Car,7,0.456,54,Basketball,800,600,700,600,0,200,23,"Same length",60,60,"Same length",September,Spring,Yes,No,Pizza/Pasta,,"Physical education",10,11,3,"Yes - other","Text messaging",3,8,20,5,0,15,30,20,0,7,15,3,0,13,None,"Graduate degree","Rap/Hip hop",Fly,Happy,"Sports person",Health
USA,MO,2017,"11        ",Male,15,Right-Handed,191,30,185,1,Car,20,0.732,58,Baseball/Softball,800,800,800,800,100,100,30,"Same length",165.1,162.5,"Ring finger",November,Spring,No,No,Other,Water,"Mathematics and statistics",8,12,5,"Yes - other","In person",12,3,10,0.5,10,3.5,14,5,12,12,5,10,1,7,"Very little","Less than high school",Gospel,Invisibility,Rich,Relative,Environment
USA,MO,2015,"12        ",Male,17,Right-Handed,160.0,,,1,Car,15,0.745,62,Swimming,700,500,800,300,1000,1000,,"Same length",70,70,"Same length",December,Fall,Yes,No,"Rice/Noodle dishes",Coffee,Science,7,9,4,"Yes - broadband connection","Text messaging",0,0,6,0,1,6,2,10,2,2,13,3,0,1,Some,"Graduate degree","Rhythm and blues (R&B)","Freeze time",Rich,Actor,"Arts, culture, sports"
USA,MO,2017,"6         ",Male,11,Right-Handed,154,22,145,2,Bus,10,0.36,30,"Martial Arts",1000,1000,1000,1000,508,444,22,"Same length",6,5,"Index finger",March,Summer,No,No,"No favorite",Tea,Science,8,11,6,"Yes - other","Internet chat or instant messaging",0,0,24,2,1,3,0,15,0,0,15,1,0,0,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Happy,"Musician or singer",Health
USA,MO,2019,"12        ",Male,17,Right-Handed,181,27,182,1,Car,10,.282,37,Swimming,800,500,200,500,900,999,27,"Same length",110,120,"Ring finger",March,Fall,No,No,Seafood,Water,History,6,9,3,"Yes - broadband connection","Text messaging",56,60,10,2,3,10,5,2,2,3,4,1,20,5,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,"Business person",Environment
USA,MO,2014,"12        ",Male,18,Right-Handed,178,25,175,1,Car,6,0.33,37,Baseball/Softball,200,,,,300,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MO,2019,"12        ",Male,19,Right-Handed,185,27,191,2,Walk,2,0.29,45,Soccer,420,69,900,666,888,950,28,"Left foot",88,93,"Index finger",May,Spring,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",7,12,4,"Yes - other","Text messaging",200,200,13,10,10,0,5,0,10,10,10,0,15,5,Some,"Graduate degree",Pop,"Freeze time",Rich,Actor,Health
USA,MO,2017,"6         ",Male,13,Ambidextrous,152,9,25,1,Bus,30,0.504,75,Running/Jogging,,,1000,,,,44,"Same length",81,125,"Ring finger",October,Fall,No,No,Other,Tea,Science,7,10,5,"Yes - other","In person",0,0,,,,30,,35,,,,10,,20,Some,"Some college",Other,"Super strength",Healthy,Friend,"Education/Youth development"
USA,MO,2015,"12        ",Male,17,Right-Handed,157,21,154,1,Car,6,.683,75,Running/Jogging,600,100,90,200,5,5,23,"Left foot",85,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
