geoid,name,B07009001,"B07009001, Error",B07009002,"B07009002, Error",B07009003,"B07009003, Error",B07009004,"B07009004, Error",B07009005,"B07009005, Error",B07009006,"B07009006, Error",B07009007,"B07009007, Error",B07009008,"B07009008, Error",B07009009,"B07009009, Error",B07009010,"B07009010, Error",B07009011,"B07009011, Error",B07009012,"B07009012, Error",B07009013,"B07009013, Error",B07009014,"B07009014, Error",B07009015,"B07009015, Error",B07009016,"B07009016, Error",B07009017,"B07009017, Error",B07009018,"B07009018, Error",B07009019,"B07009019, Error",B07009020,"B07009020, Error",B07009021,"B07009021, Error",B07009022,"B07009022, Error",B07009023,"B07009023, Error",B07009024,"B07009024, Error",B07009025,"B07009025, Error",B07009026,"B07009026, Error",B07009027,"B07009027, Error",B07009028,"B07009028, Error",B07009029,"B07009029, Error",B07009030,"B07009030, Error",B07009031,"B07009031, Error",B07009032,"B07009032, Error",B07009033,"B07009033, Error",B07009034,"B07009034, Error",B07009035,"B07009035, Error",B07009036,"B07009036, Error"
05000US29189,"St. Louis County, MO",689502,113,46247,1520,146184,2770,199438,3215,171146,2814,126487,2104,605656,2752,39428,1333,128456,2457,174421,3134,151710,2643,111641,1939,49621,2098,4153,591,10778,934,15791,1360,11122,848,7777,687,17923,1206,1642,351,4015,512,5708,661,3489,459,3069,470,13555,1084,700,204,2455,393,3032,503,3948,555,3420,446,2747,515,324,120,480,201,486,168,877,268,580,183
86000US63005,63005,11879,461,97,57,824,133,1965,246,4473,359,4520,365,10632,451,97,57,794,135,1697,236,4078,332,3966,318,614,204,0,17,5,8,108,67,229,99,272,163,248,121,0,17,13,22,84,70,63,55,88,62,312,118,0,17,0,17,64,51,96,55,152,72,73,61,0,17,12,17,12,17,7,11,42,48
86000US63011,63011,26481,657,1231,434,3792,484,6548,579,8967,606,5943,549,23899,724,848,256,3487,467,5758,578,8326,604,5480,486,1577,453,360,332,119,72,484,185,422,205,192,110,392,180,0,23,76,71,152,96,69,72,95,100,575,241,23,29,110,82,154,79,124,81,164,168,38,41,0,23,0,23,0,23,26,36,12,21
86000US63017,63017,30786,672,637,173,3873,391,6243,590,10379,577,9654,524,26671,743,515,153,3268,358,5127,487,9159,537,8602,528,2586,452,59,45,400,134,802,251,710,213,615,148,590,275,10,16,101,65,183,95,147,91,149,173,800,242,17,18,104,73,117,91,286,135,276,126,139,100,36,46,0,23,14,22,77,86,12,19
86000US63021,63021,39205,706,1287,300,5947,483,10013,660,13286,594,8672,583,34896,815,1116,283,5418,425,8890,610,11698,568,7774,578,2508,452,140,94,342,141,697,256,863,267,466,237,791,284,0,26,170,136,217,120,226,125,178,123,888,277,11,18,14,23,209,163,450,169,204,94,122,169,20,33,3,19,0,26,49,80,50,82
86000US63025,63025,9953,507,395,144,1997,356,2932,397,2847,369,1782,280,9099,493,357,144,1691,319,2724,363,2692,354,1635,250,413,165,21,25,121,90,106,86,88,76,77,90,243,102,0,17,112,77,81,62,50,48,0,17,157,104,17,29,73,62,21,27,17,27,29,36,41,66,0,17,0,17,0,17,0,17,41,66
86000US63026,63026,29861,636,2069,340,7089,515,10075,542,7300,553,3328,392,26878,642,1796,271,6340,489,9111,574,6588,506,3043,384,1111,271,42,47,292,181,322,148,305,118,150,77,1522,352,220,151,390,162,508,195,280,121,124,67,326,156,11,19,67,54,134,94,103,65,11,17,24,37,0,23,0,23,0,23,24,37,0,23
86000US63031,63031,31340,1029,2750,461,9095,724,11229,751,5416,578,2850,400,27836,972,2352,431,8075,710,9994,699,4797,489,2618,358,2200,440,179,114,750,234,764,228,389,178,118,71,666,245,109,64,168,95,210,115,153,116,26,27,498,203,54,47,70,51,209,132,77,59,88,84,140,106,56,70,32,40,52,66,0,23,0,23
86000US63033,63033,28683,1119,2279,475,7042,695,10835,798,5702,727,2825,437,25047,1262,1769,401,6236,696,9104,663,5346,696,2592,410,2530,667,267,194,575,221,1228,459,280,171,180,141,903,304,212,144,188,166,405,199,45,63,53,62,172,114,0,23,43,46,98,84,31,40,0,23,31,35,31,35,0,23,0,23,0,23,0,23
86000US63034,63034,13294,686,755,202,2781,479,4824,540,2658,354,2276,388,12193,649,626,199,2589,480,4392,533,2507,352,2079,336,718,308,62,44,134,82,339,230,82,59,101,95,104,99,0,17,26,34,17,28,12,20,49,63,279,153,67,63,32,33,76,70,57,70,47,46,0,17,0,17,0,17,0,17,0,17,0,17
