geoid,name,B15011001,"B15011001, Error",B15011002,"B15011002, Error",B15011003,"B15011003, Error",B15011004,"B15011004, Error",B15011005,"B15011005, Error",B15011006,"B15011006, Error",B15011007,"B15011007, Error",B15011008,"B15011008, Error",B15011009,"B15011009, Error",B15011010,"B15011010, Error",B15011011,"B15011011, Error",B15011012,"B15011012, Error",B15011013,"B15011013, Error",B15011014,"B15011014, Error",B15011015,"B15011015, Error",B15011016,"B15011016, Error",B15011017,"B15011017, Error",B15011018,"B15011018, Error",B15011019,"B15011019, Error",B15011020,"B15011020, Error",B15011021,"B15011021, Error",B15011022,"B15011022, Error",B15011023,"B15011023, Error",B15011024,"B15011024, Error",B15011025,"B15011025, Error",B15011026,"B15011026, Error",B15011027,"B15011027, Error",B15011028,"B15011028, Error",B15011029,"B15011029, Error",B15011030,"B15011030, Error",B15011031,"B15011031, Error",B15011032,"B15011032, Error",B15011033,"B15011033, Error",B15011034,"B15011034, Error",B15011035,"B15011035, Error",B15011036,"B15011036, Error",B15011037,"B15011037, Error",B15011038,"B15011038, Error",B15011039,"B15011039, Error"
01000US,United States,68867051,316231,32808183,154279,10351233,63893,4610027,34378,565403,5869,2345410,14794,378061,5966,2452332,18988,15451218,79480,6762891,42391,908809,7812,3885459,20410,843812,7514,3050247,17613,7005732,20162,3067384,12046,375291,3590,1561078,8459,785262,5336,1216717,6910,36058868,164355,12743198,82090,4052180,30889,1558060,12843,2230695,16186,1441981,14037,3460282,24188,17161752,73005,4438128,27637,2325610,10929,3473255,16837,2897667,17341,4027092,19458,6153918,17847,1147613,7608,773594,5615,533538,4234,2228850,9871,1470323,7735
04000US29,Missouri,1181083,9699,549327,5568,176868,2976,69207,1790,10080,683,44595,1656,9568,669,43418,1498,255175,3145,99332,1732,16817,707,67610,1622,18560,961,52856,1591,117284,1971,46332,1175,6523,494,27393,986,15900,721,21136,1003,631756,5357,227261,3323,58300,1782,31493,1290,43888,1510,34942,1171,58638,1529,302871,3098,62678,1526,44784,1408,65209,1522,67438,1543,62762,1489,101624,1762,14391,688,12614,650,9194,597,45736,1133,19689,984
05000US29189,"St. Louis County, MO",297633,3191,142360,1812,40890,1158,16682,843,1966,322,12549,734,1432,224,8261,562,70067,1370,30325,1033,3618,384,20904,909,3095,382,12125,727,31403,748,13888,610,1454,236,7968,523,2711,353,5382,541,155273,2293,49328,1431,14041,910,5799,574,10459,675,6208,523,12821,800,76845,1553,18322,824,11478,673,18209,892,12600,627,16236,776,29100,885,4999,379,3902,285,2666,309,11182,490,6351,515
86000US63005,63005,8993,410,4616,239,795,176,515,160,38,43,166,69,0,17,76,44,2879,187,1517,166,132,47,800,104,61,39,369,87,942,123,522,88,48,33,233,67,42,37,97,46,4377,248,943,165,257,94,92,53,359,112,92,69,143,64,2776,234,865,146,331,84,760,134,413,124,407,106,658,102,147,59,102,58,64,41,218,59,127,50
86000US63011,63011,14910,659,7609,423,1642,241,502,140,38,46,654,181,63,50,385,167,4057,309,1645,254,233,91,1412,221,117,63,650,173,1910,200,874,156,50,39,516,125,246,94,224,104,7301,418,1851,265,414,131,313,133,229,95,382,155,513,173,4024,296,772,173,817,182,1043,189,721,175,671,143,1426,199,216,85,197,92,148,68,600,128,265,91
86000US63017,63017,20033,758,10260,478,2162,257,1049,195,32,31,765,164,61,39,255,96,5139,378,2790,337,304,117,1402,215,145,81,498,145,2959,307,1233,187,181,71,975,203,152,69,418,153,9773,491,2417,303,845,243,331,116,378,117,298,96,565,157,5034,358,1433,203,654,142,1223,220,757,183,967,173,2322,278,511,124,312,82,161,72,942,207,396,126
86000US63021,63021,21958,773,10908,478,3111,315,1347,241,165,92,806,139,174,86,619,166,5818,355,2524,307,281,104,2020,291,203,84,790,163,1979,228,884,189,56,45,604,128,189,77,246,99,11050,484,3772,362,1155,255,530,171,745,201,461,135,881,180,5870,362,1502,255,859,170,1360,238,1054,190,1095,221,1408,242,183,79,203,84,191,101,581,132,250,99
86000US63025,63025,4629,432,2405,320,505,127,191,86,46,45,99,63,37,40,132,71,1451,255,625,160,93,61,421,146,30,35,282,136,449,150,170,96,24,28,142,63,36,32,77,60,2224,257,756,145,79,56,115,97,123,84,176,85,263,109,1211,201,236,103,229,98,328,109,249,120,169,79,257,90,41,38,27,32,13,21,118,57,58,42
86000US63026,63026,10628,690,5191,390,1744,269,563,158,28,30,695,180,69,47,389,124,2653,275,1055,170,190,82,804,195,142,64,462,128,794,128,407,119,44,29,161,65,40,31,142,71,5437,448,1818,297,366,123,272,95,445,176,295,99,440,133,2905,278,547,111,531,141,651,119,445,120,731,218,714,150,50,33,104,54,122,67,256,96,182,112
86000US63031,63031,8266,730,3467,411,1265,338,327,144,26,30,593,211,72,53,247,147,1693,242,623,178,46,33,508,126,156,83,360,109,509,111,176,83,22,26,178,83,44,28,89,46,4799,452,1786,346,358,125,286,157,488,167,259,113,395,142,2387,288,406,106,307,101,656,180,499,127,519,133,626,150,15,19,65,52,93,53,363,118,90,64
