Business Tally by ZIP Code,,,,
,,,,
City,State,ZIP Code,Leads,Percentage
Affton,MO,63123,57,0.18
Ballwin,MO,63011,670,2.14
Ballwin,MO,63021,340,1.09
Ballwin,MO,63022,11,0.04
Ballwin,MO,63024,2,0.01
Berkeley,MO,63134,56,0.18
Black Jack,MO,63033,74,0.24
Brentwood,MO,63144,153,0.49
Bridgeton,MO,63044,790,2.52
Chesterfield,MO,63005,"1,199",3.83
Chesterfield,MO,63006,30,0.1
Chesterfield,MO,63017,"1,634",5.22
Clayton,MO,63105,314,1
Clayton,MO,63117,17,0.05
Clayton,MO,63124,3,0.01
Creve Coeur,MO,63141,449,1.43
Des Peres,MO,63131,81,0.26
Earth City,MO,63045,271,0.87
Ellisville,MO,63011,366,1.17
Ellisville,MO,63021,95,0.3
Ellisville,MO,63038,2,0.01
Eureka,MO,63025,360,1.15
Eureka,MO,63069,21,0.07
Fenton,MO,63026,"1,085",3.46
Fenton,MO,63099,1,0
Ferguson,MO,63135,90,0.29
Florissant,MO,63031,792,2.53
Florissant,MO,63032,14,0.04
Florissant,MO,63033,673,2.15
Florissant,MO,63034,156,0.5
Frontenac,MO,63131,15,0.05
Glencoe,MO,63038,65,0.21
Grover,MO,63040,133,0.42
Hazelwood,MO,63042,678,2.16
Hazelwood,MO,63043,26,0.08
Hazelwood,MO,63044,41,0.13
High Ridge,MO,63049,9,0.03
Jennings,MO,63136,55,0.18
Kinloch,MO,63140,2,0.01
Kirkwood,MO,63122,364,1.16
Lemay,MO,63125,2,0.01
Manchester,MO,63011,304,0.97
Manchester,MO,63021,185,0.59
Manchester,MO,63088,24,0.08
Maplewood,MO,63143,138,0.44
Maryland Heights,MO,63043,841,2.69
Normandy,MO,63121,11,0.04
Olivette,MO,63132,63,0.2
Overland,MO,63114,174,0.56
Pacific,MO,63069,24,0.08
Richmond Heights,MO,63117,69,0.22
Sappington,MO,63126,30,0.1
Sappington,MO,63127,14,0.04
Sappington,MO,63128,51,0.16
St Ann,MO,63074,299,0.95
St Louis,MO,63103,1,0
St Louis,MO,63105,"1,065",3.4
St Louis,MO,63112,1,0
St Louis,MO,63114,689,2.2
St Louis,MO,63117,638,2.04
St Louis,MO,63119,"1,003",3.2
St Louis,MO,63120,12,0.04
St Louis,MO,63121,378,1.21
St Louis,MO,63122,988,3.15
St Louis,MO,63123,880,2.81
St Louis,MO,63124,407,1.3
St Louis,MO,63125,697,2.23
St Louis,MO,63126,492,1.57
St Louis,MO,63127,483,1.54
St Louis,MO,63128,743,2.37
St Louis,MO,63129,934,2.98
St Louis,MO,63130,428,1.37
St Louis,MO,63131,976,3.12
St Louis,MO,63132,"1,055",3.37
St Louis,MO,63133,205,0.65
St Louis,MO,63134,249,0.8
St Louis,MO,63135,200,0.64
St Louis,MO,63136,663,2.12
St Louis,MO,63137,167,0.53
St Louis,MO,63138,197,0.63
St Louis,MO,63140,9,0.03
St Louis,MO,63141,"1,455",4.65
St Louis,MO,63143,287,0.92
St Louis,MO,63144,610,1.95
St Louis,MO,63145,28,0.09
St Louis,MO,63146,"1,049",3.35
St Louis,MO,63147,1,0
St Louis,MO,63151,11,0.04
St Louis,MO,63167,4,0.01
Town And Country,MO,63017,29,0.09
University City,MO,63130,134,0.43
Valley Park,MO,63088,232,0.74
Webster Groves,MO,63119,202,0.65
Wildwood,MO,63005,61,0.19
Wildwood,MO,63011,88,0.28
Wildwood,MO,63021,18,0.06
Wildwood,MO,63025,13,0.04
Wildwood,MO,63038,31,0.1
Wildwood,MO,63040,62,0.2
Wildwood,MO,63069,19,0.06
Total,,,"31,317",100
