"IP Code,Classification,City,Population,Timezone,Area Code(s)"
"63005,General,Chesterfield,""17,753"",Central,636/314"
"63006,P.O. Box,Chesterfield,0,Central,636/314"
"63011,General,Ballwin,""36,347"",Central,636"
"63017,General,Chesterfield,""41,470"",Central,636/314"
"63021,General,Ballwin,""56,261"",Central,636"
"63022,P.O. Box,Ballwin,0,Central,636"
"63024,P.O. Box,Ballwin,0,Central,636"
"63025,General,Eureka,""13,854"",Central,636"
"63026,General,Fenton,""44,124"",Central,636"
"63031,General,Florissant,""48,212"",Central,314"
"63032,P.O. Box,Florissant,0,Central,314"
"63033,General,Florissant,""43,000"",Central,314"
"63034,General,Florissant,""17,761"",Central,314/636"
"63038,General,Wildwood,""6,914"",Central,636"
"63040,General,Wildwood,""8,512"",Central,636"
"63042,General,Hazelwood,""19,602"",Central,314"
"63043,General,Maryland Heights,""22,367"",Central,314/636"
"63044,General,Bridgeton,""10,568"",Central,314/636"
"63045,General,Earth City,3,Central,636/314"
"63074,General,Saint Ann,""15,164"",Central,314/636"
"63088,General,Valley Park,""8,269"",Central,636"
"63099,Unique,Fenton,0,Central,636"
"63105,General,Saint Louis,""17,667"",Central,314"
"63114,General,Saint Louis,""36,201"",Central,314"
"63117,General,Saint Louis,""9,163"",Central,314"
"63119,General,Saint Louis,""33,969"",Central,314"
"63121,General,Saint Louis,""26,602"",Central,314"
"63122,General,Saint Louis,""38,495"",Central,314"
"63123,General,Saint Louis,""49,308"",Central,314"
"63124,General,Saint Louis,""10,417"",Central,314/636"
"63125,General,Saint Louis,""32,201"",Central,314"
"63126,General,Saint Louis,""15,112"",Central,314"
"63127,General,Saint Louis,""4,939"",Central,314"
"63128,General,Saint Louis,""29,356"",Central,314"
"63129,General,Saint Louis,""52,718"",Central,314/636"
"63130,General,Saint Louis,""30,084"",Central,314"
"63131,General,Saint Louis,""16,769"",Central,314"
"63132,General,Saint Louis,""13,988"",Central,314/636"
"63133,General,Saint Louis,""8,161"",Central,314"
"63134,General,Saint Louis,""13,638"",Central,314"
"63135,General,Saint Louis,""21,334"",Central,314"
"63136,General,Saint Louis,""48,560"",Central,314"
"63137,General,Saint Louis,""20,654"",Central,314"
"63138,General,Saint Louis,""20,175"",Central,314"
"63140,General,Saint Louis,294,Central,314"
"63141,General,Saint Louis,""20,593"",Central,314/636"
"63143,General,Saint Louis,""9,678"",Central,314"
"63144,General,Saint Louis,""8,825"",Central,314"
"63145,P.O. Box,Saint Louis,0,Central,314"
"63146,General,Saint Louis,""29,262"",Central,314/636"
"63151,P.O. Box,Saint Louis,0,Central,314/636"
"63167,Unique,Saint Louis,0,Central,"
