Zip,Sum of Business
63005,1260
63006,30
63011,1428
63017,1663
63021,638
63022,11
63024,2
63025,373
63026,1085
63031,792
63032,14
63033,747
63034,156
63038,98
63040,195
63042,678
63043,867
63044,831
63045,271
63049,9
63069,64
63074,299
63088,256
63099,1
63103,1
63105,1379
63112,1
63114,863
63117,724
63119,1205
63120,12
63121,389
63122,1352
63123,937
63124,410
63125,699
63126,522
63127,497
63128,794
63129,934
63130,562
63131,1072
63132,1118
63133,205
63134,305
63135,290
63136,718
63137,167
63138,197
63140,11
63141,1904
63143,425
63144,763
63145,28
63146,1049
63147,1
63151,11
63167,4
